species,total_abundance,prevalence,kept
Alpheus clypeatus,1,1,FALSE
Alpheus diadema,12,8,FALSE
Alpheus dolerus,5,5,FALSE
Alpheus lottini,89,33,TRUE
Alpheus pachychirus,2,2,FALSE
Alpheus paracrinitus,1,1,FALSE
Antennatus tuberosus,1,1,FALSE
Apataxia cerithiiformis,110,29,TRUE
Arete indicus,3,1,FALSE
Astralium confragosum,1,1,FALSE
Athanas djiboutensis,74,20,TRUE
Bittium glareosum,1,1,FALSE
Breviturma dentata,4,4,FALSE
Breviturma pica,5,5,FALSE
Caducifer decapitatus,1,1,FALSE
Calcinus latens,150,36,TRUE
Calcinus nitidus,1,1,FALSE
Caracanthus maculatus,26,21,TRUE
Carinomitra saltata,5,4,FALSE
Carinomitra typha,21,13,TRUE
Cellana taitensis,13,12,TRUE
Cerithium columna,1,1,FALSE
Cerithium punctatum,5,5,FALSE
Cerithium zebrum,79,30,TRUE
Chlorodiella barbata,19,14,TRUE
Chlorodiella laevissima,4,4,FALSE
Chromis atripectoralis,2,1,FALSE
Coralliogalathea humilis,12,8,FALSE
Coriophora ustulata,1,1,FALSE
Cyclodius nitidus,2,2,FALSE
Cyclodius ungulatus,1,1,FALSE
Cystiscus garretti,5,5,FALSE
Dascyllus aruanus,168,32,TRUE
Dascyllus flavicaudus,106,25,TRUE
Diala albugo,74,26,TRUE
Diala semistriata,46,18,TRUE
Domecia glabra,3,2,FALSE
Echinometra mathaei,3,3,FALSE
Eratoena schmeltziana,2,2,FALSE
Eucithara paucicostata,1,1,FALSE
Euplica varians,10,7,FALSE
Fennera chacei,1080,41,TRUE
Galathea mauritiana,54,21,TRUE
Galeropsis monodonta,974,44,TRUE
Gobiodon unicolor,3,2,FALSE
Graphicomassa margarita,1,1,FALSE
Halichoeres trimaculatus,12,10,TRUE
Hargeria rapax,39,22,TRUE
Harpiliopsis beaupresii,24,11,TRUE
Harpiliopsis spinigera,237,44,TRUE
Haurakia marmorata,2,2,FALSE
Kermia maculosa,3,3,FALSE
Lienardia fallax,1,1,FALSE
Lucilina pacifica,10,6,FALSE
Luniella pugil,39,26,TRUE
Macteola interrupta,8,7,FALSE
Mastonia vulpina,2,2,FALSE
Medaeus ornatus,4,4,FALSE
Menaethius monoceros,18,10,TRUE
Mitrella moleculina,17,9,FALSE
Morula zebrina,19,11,TRUE
Neocirrhites armatus,2,2,FALSE
Ophiolepis cincta,1,1,FALSE
Ophiomastix elegans,1,1,FALSE
Paracirrhites arcatus,2,2,FALSE
Paragobiodon lacunicolus,8,5,FALSE
Paragobiodon modestus,136,34,TRUE
Parelasmopus suensis,2,2,FALSE
Pascula muricata,19,7,FALSE
Periclimenes watamuae,302,31,TRUE
Phylladiorhynchus integrirostris,3,2,FALSE
Pomacentrus pavo,4,2,FALSE
Prodotia iostoma,3,2,FALSE
Rissoina heronensis,3,3,FALSE
Scabricola olivaeformis,1,1,FALSE
Stegastes nigricans,1,1,FALSE
Stomatella auricula,6,4,FALSE
Stomatolina rubra,15,10,TRUE
Strigatella assimilis,28,19,TRUE
Synalpheus charon,78,41,TRUE
Tetralia ocucaerulea,1,1,FALSE
Thalamita admete,1,1,FALSE
Thalamita coeruleipes,3,3,FALSE
Thinora maldivensis,1,1,FALSE
Trapezia areolata,4,4,FALSE
Trapezia bella,1,1,FALSE
Trapezia bidentata,6,5,FALSE
Trapezia guttata,2,1,FALSE
Trapezia punctimanus,4,2,FALSE
Trapezia serenei,257,44,TRUE
Trapezia speciosa,1,1,FALSE
Trapezia tigrina,13,9,FALSE
Vexillum aureolatum,1,1,FALSE
Vexillum interruptum,8,8,FALSE
Xanthias lamarckii,13,13,TRUE
Zafra hahajimana,14,8,FALSE
