reef,richness,shannon,treatment
Reef_1-1,19,2.05485698514382,1
Reef_1-2,27,2.6043430332719275,6
Reef_1-4,23,2.4473069444082127,3
Reef_1-5,15,1.8751080903362447,1
Reef_1-6,22,2.500476627588378,3
Reef_1-7,25,3.0163298922551443,1
Reef_1-8,18,2.319103776012678,1
Reef_1-9,17,2.0558526756157387,1
Reef_2-2,14,2.199193235357044,1
Reef_2-3,17,2.3979748772648053,1
Reef_2-4,15,2.487682729169523,3
Reef_2-6,27,2.596222448900575,6
Reef_2-7,13,2.098519989853639,1
Reef_2-8,15,1.8407584235341505,1
Reef_2-9,27,2.2304632753292832,3
Reef_3-1,15,2.0842514400535004,1
Reef_3-2,13,1.5433170185352336,1
Reef_3-3,16,1.7350258609461,1
Reef_3-5,26,2.450957539774938,6
Reef_3-6,14,2.063051991786071,1
Reef_3-7,16,1.6340202555132683,1
Reef_3-8,23,2.1397435324503453,3
Reef_3-9,25,2.561166154827565,3
