k,index,SL,SS,diff
1,richness,16.414829659318634,16.452905811623246,0.03807615230461181
1,shannon,2.129831766196928,2.1020027571095867,-0.027829009087341205
2,richness,21.629258517034067,21.861723446893787,0.23246492985972012
2,shannon,2.3925048206054744,2.2878325549993797,-0.10467226560609477
3,richness,24.509018036072145,24.521042084168336,0.012024048096190398
3,shannon,2.444672322837048,2.355327536161506,-0.08934478667554213
4,richness,26.04609218436874,26.322645290581164,0.27655310621242535
4,shannon,2.529579806794704,2.3842282665466517,-0.1453515402480523
5,richness,26.66933867735471,27.468937875751504,0.7995991983967947
5,shannon,2.5510856833943043,2.4012670293737584,-0.14981865402054595
