coral_id,spp_richness,total_counts,reef,treatment,growth_vol_b,protein_mg_cm2,carb_mg_cm2,zoox_cells_cm2,afdw_mg_cm2
POC100,10,28,NA,NA,NA,NA,NA,NA,NA
POC101,22,110,Reef_3-5,6,17.308124880219115,0.5360547,0.079654,332964.6317,8.222938695
POC102,33,153,Reef_3-5,6,16.73449399469928,0.6279548,0.1036614,636461.9208,14.65122738
POC103,21,171,Reef_3-5,6,23.503026288968535,0.6502276,0.0931105,389105.8137,9.276694896
POC104,29,94,NA,NA,NA,NA,NA,NA,NA
POC105,30,208,Reef_3-5,6,22.04234495482297,0.7433246,0.1287731,1001786.998,14.1336376
POC106,26,125,Reef_3-5,6,15.73717101960989,0.4254004,0.0691377,516499.572,17.93514262
POC107,19,95,Reef_3-6,1,19.87065103132137,0.692186,0.1110745,360957.7564,9.444299777
POC108,20,126,Reef_3-7,1,30.52007976819767,0.6463628,0.1120249,516265.897,11.03340013
POC109,28,185,Reef_3-8,3,26.793213744216963,0.5548307,0.0760103,396623.3003,12.46214715
POC110,34,152,NA,NA,NA,NA,NA,NA,NA
POC111,20,186,Reef_3-8,3,17.594293326867,0.5328653,0.1123357,1055882.897,16.52210544
POC112,22,120,Reef_3-9,3,30.702909929992614,0.662691,0.0948703,375278.0717,11.34840889
POC113,20,121,Reef_3-9,3,44.00621055533685,0.9321642,0.1221,214058.9174,15.20490248
POC114,21,139,NA,NA,NA,NA,NA,NA,NA
POC61,27,172,Reef_1-1,1,27.19035776841373,1.1183599,0.1478977,723655.6064,14.86427732
POC62,21,101,Reef_1-2,6,24.335550468915088,0.5623249,0.0735019,497743.181,10.20462722
POC63,26,115,Reef_1-2,6,12.207421676107115,0.2644726,0.0421762,389318.9866,5.118823712
POC64,25,87,Reef_1-2,6,17.572387828024908,0.6645941,0.0889732,377788.2609,12.08352905
POC65,25,67,Reef_1-2,6,14.443232011454509,0.5444864,0.0673899,361301.2076,11.8975941
POC66,33,147,NA,NA,NA,NA,NA,NA,NA
POC67,25,161,Reef_1-2,6,18.682533463678457,0.6043222,0.0815853,754941.2428,14.84040976
POC68,31,170,NA,NA,NA,NA,NA,NA,NA
POC69,20,83,Reef_1-4,3,23.621364656334084,0.7705997,0.1148093,718246.6874,10.02973635
POC70,21,87,Reef_1-4,3,25.279873824828577,0.6918504,0.0925563,811028.1809,14.30133663
POC71,27,129,Reef_1-4,3,20.48628385170375,0.8212185,0.1292409,676869.5211,15.61661392
POC72,17,107,Reef_1-5,1,15.92695077852038,0.7755355,0.1215349,612678.741,15.01313134
POC73,19,93,Reef_1-6,3,16.95594509477775,0.5287927,0.0818916,416101.1556,10.94303765
POC74,21,107,Reef_1-6,3,16.6243058664073,0.4713357,0.0718956,472613.0155,9.142050995
POC75,21,114,Reef_1-6,3,21.491957756445867,0.7325839,0.2049856,681050.1838,18.04639306
POC76,36,123,Reef_1-7,1,27.4228394873803,0.4833094,0.0827125,918220.7121,12.33981334
POC77,23,140,Reef_1-8,1,22.597889186636476,0.814832,0.1121007,561042.4508,17.65586041
POC78,24,191,Reef_1-9,1,22.64326408935935,0.5564106,0.0856145,411383.3879,8.711648214
POC79,25,139,NA,NA,NA,NA,NA,NA,NA
POC80,17,86,Reef_2-2,1,32.650981266829035,0.8734997,0.1533036,495755.2214,13.56571573
POC81,22,83,Reef_2-3,1,12.881603788721804,0.8952526,0.1474854,1161243.354,14.28594636
POC82,15,52,Reef_2-4,3,18.52953184159881,0.6025569,0.0884221,189243.7864,11.08389215
POC83,43,223,NA,NA,NA,NA,NA,NA,NA
POC84,10,23,Reef_2-4,3,22.76836725065319,0.7697169,0.1091949,493874.8985,18.41325489
POC85,29,130,NA,NA,NA,NA,NA,NA,NA
POC86,21,64,Reef_2-6,6,28.378872825178245,0.5607609,0.0823803,277027.7869,7.356754506
POC87,30,101,Reef_2-6,6,19.40969660785995,0.5985632,0.0731928,315797.1723,7.516564555
POC88,27,108,Reef_2-6,6,22.69098034947225,0.485246,0.0707067,494853.9094,7.219923203
POC89,27,91,Reef_2-6,6,22.937379315384213,0.5934985,0.0886894,526670.9001,9.688757124
POC90,31,127,NA,NA,NA,NA,NA,NA,NA
POC91,19,88,Reef_2-6,6,16.226372922295422,0.3883775,0.0629801,266215.3996,7.623911834
POC92,16,102,Reef_2-7,1,21.128214050250484,0.6954445,0.1104551,479680.2558,8.931977178
POC93,16,121,Reef_2-8,1,25.53518683168177,1.0103245,0.2111618,892017.2949,13.36258404
POC94,21,143,Reef_2-9,3,36.21501263536025,0.4382376,0.0744488,421739.2254,9.342194089
POC95,23,132,Reef_2-9,3,30.41476873366742,0.4944889,0.0829293,784021.1355,9.383560047
POC96,24,171,Reef_2-9,3,18.46487841970853,0.5315774,0.0933735,479172.4542,17.06780433
POC97,19,90,Reef_3-1,1,19.24056695306525,0.1752452,0.0400016,425787.4612,6.28596752
POC98,15,121,Reef_3-2,1,15.955225712845616,0.6542669,0.1092679,620916.6976,15.68631657
POC99,20,180,Reef_3-3,1,17.56757186489771,0.7806684,0.1001509,279473.7977,10.44542488
NA,4,25,NA,NA,NA,NA,NA,NA,NA
