feature,loading
Diala albugo,-0.32716611496368586
Trapezia serenei,-0.30333931933317265
Chlorodiella barbata,-0.28227962848685795
Periclimenes watamuae,0.2723600592507561
Diala semistriata,-0.2713901849965951
Fennera chacei,0.268632442645442
Dascyllus flavicaudus,0.2668887804921866
Apataxia cerithiiformis,-0.25935779831665823
Cerithium zebrum,-0.244372061707491
Harpiliopsis spinigera,0.22180189668130226
Galathea mauritiana,-0.19970351342495782
Athanas djiboutensis,-0.19880543765900027
Hargeria rapax,-0.19452894213758934
Dascyllus aruanus,0.1941739016247909
Strigatella assimilis,-0.16673646546581564
Calcinus latens,-0.1610599614533829
Synalpheus charon,-0.11697801344400457
Paragobiodon modestus,-0.1000327736495879
Alpheus lottini,-0.090469331097057
Luniella pugil,-0.08294120527029612
Galeropsis monodonta,0.08008795172372253
