sp1,sp2,weight,sign
Alpheus diadema,Carinomitra typha,0.5174385363064608,pos
Alpheus diadema,Fennera chacei,-0.38791690489803693,neg
Alpheus diadema,Macteola interrupta,0.40019058509624544,pos
Alpheus diadema,Morula zebrina,0.416123499142367,pos
Athanas djiboutensis,Trapezia tigrina,-0.46056794358681147,neg
Calcinus latens,Stomatolina rubra,-0.4545454545454545,neg
Caracanthus maculatus,Dascyllus flavicaudus,0.3948542024013722,pos
Caracanthus maculatus,Harpiliopsis spinigera,0.4681913474366304,pos
Caracanthus maculatus,Vexillum interruptum,0.42504288164665516,pos
Carinomitra typha,Morula zebrina,0.40240137221269295,pos
Carinomitra typha,Stomatolina rubra,0.42816847722508095,pos
Cellana taitensis,Harpiliopsis beaupresii,0.5018867924528302,pos
Cerithium zebrum,Hargeria rapax,0.3864684581665713,pos
Chlorodiella barbata,Fennera chacei,-0.42100247760625115,neg
Chlorodiella barbata,Galeropsis monodonta,-0.5419096626643797,neg
Chlorodiella barbata,Menaethius monoceros,0.41147322279397747,pos
Coralliogalathea humilis,Macteola interrupta,0.42611015818562986,pos
Coralliogalathea humilis,Pascula muricata,0.43609681722889265,pos
Dascyllus flavicaudus,Diala albugo,-0.4931961120640365,neg
Dascyllus flavicaudus,Harpiliopsis spinigera,0.4978463884124261,pos
Diala semistriata,Stomatolina rubra,0.39294835143891743,pos
Fennera chacei,Harpiliopsis spinigera,0.42321326472269866,pos
Fennera chacei,Menaethius monoceros,-0.5230036211168286,neg
Fennera chacei,Periclimenes watamuae,0.4104059462550028,pos
Galathea mauritiana,Harpiliopsis spinigera,-0.4969315799504478,neg
Halichoeres trimaculatus,Pascula muricata,0.46590432628168477,pos
Halichoeres trimaculatus,Xanthias lamarckii,0.48130360205831896,pos
Harpiliopsis spinigera,Mitrella moleculina,-0.41741947779683625,neg
Harpiliopsis spinigera,Periclimenes watamuae,0.46941109205260145,pos
Harpiliopsis spinigera,Stomatolina rubra,-0.4122355631789593,neg
Macteola interrupta,Vexillum interruptum,0.4256527539546407,pos
Menaethius monoceros,Pascula muricata,0.3869258623975605,pos
Menaethius monoceros,Periclimenes watamuae,-0.3890604154755098,neg
Menaethius monoceros,Strigatella assimilis,-0.4380789022298456,neg
Mitrella moleculina,Morula zebrina,0.4072041166380788,pos
Mitrella moleculina,Pascula muricata,0.4213074137602439,pos
Morula zebrina,Pascula muricata,0.47657709167143125,pos
Pascula muricata,Xanthias lamarckii,0.4864112826376977,pos
