min_abund,min_prev,n_species,var_PC1,slope,p_value,r2
10,10,38,0.1472761700612294,0.1352639654134656,0.06593381300294585,0.08791797780518856
20,10,31,0.16441136595674358,0.13219176448304462,0.08526203708957875,0.07715540832242043
30,10,23,0.17962779959659286,0.14890005780239826,0.061378947243441964,0.08162802117009775
40,10,20,0.1809086306038507,0.1654438905802695,0.04357660855796971,0.08941313999559418
50,10,20,0.1809086306038507,0.1654438905802695,0.04357660855796971,0.08941313999559418
10,15,26,0.17257046400172918,0.17055725363830654,0.026457559219019627,0.11322840446651439
20,15,24,0.17793437906559004,0.16241129216559597,0.041480032729733,0.09885292825728889
30,15,22,0.17800495589529414,0.14689493437181764,0.06746141103482675,0.07673412650031906
40,15,20,0.1809086306038507,0.1654438905802695,0.04357660855796971,0.08941313999559418
50,15,20,0.1809086306038507,0.1654438905802695,0.04357660855796971,0.08941313999559418
10,20,22,0.18216715119305435,0.19200620860621334,0.019170299931171704,0.1272006393867546
20,20,22,0.18216715119305435,0.19200620860621334,0.019170299931171704,0.1272006393867546
30,20,21,0.1786682843933748,0.1713872327298012,0.03729237788415902,0.09865331145284013
40,20,20,0.1809086306038507,0.1654438905802695,0.04357660855796971,0.08941313999559418
50,20,20,0.1809086306038507,0.1654438905802695,0.04357660855796971,0.08941313999559418
10,25,19,0.19045875501678747,0.16486082324702517,0.04398999270226744,0.08899269985275075
20,25,19,0.19045875501678747,0.16486082324702517,0.04398999270226744,0.08899269985275075
30,25,19,0.19045875501678747,0.16486082324702517,0.04398999270226744,0.08899269985275075
40,25,19,0.19045875501678747,0.16486082324702517,0.04398999270226744,0.08899269985275075
50,25,19,0.19045875501678747,0.16486082324702517,0.04398999270226744,0.08899269985275075
