species,cor_comm_pc1,cor_rda1
Diala albugo,-0.5699267195534845,0.2834244812210624
Diala semistriata,-0.5337938917485581,0.36576527714379553
Dascyllus flavicaudus,0.5305825567980862,-0.2169964555311555
Harpiliopsis spinigera,0.4901094987680333,-0.338610671761813
Strigatella assimilis,-0.4778771419615117,0.22039013901809296
Periclimenes watamuae,0.47629248503408517,-0.29853234143346835
Fennera chacei,0.47249806777641373,-0.4186873524176407
Dascyllus aruanus,0.4465911249397376,-0.4662146964577226
Apataxia cerithiiformis,-0.43210935260219707,0.3019284013235718
Chlorodiella barbata,-0.423344590678594,0.19807538582737927
Athanas djiboutensis,-0.3421253263610072,0.1280742031699821
Cerithium zebrum,-0.285802748816072,0.11964153777322727
Hargeria rapax,-0.2803591542855235,0.2390848374406024
Galathea mauritiana,-0.18569173682254175,-0.010762288085572152
Trapezia serenei,-0.17323059120330486,0.06830581979433567
Galeropsis monodonta,0.15790798725453337,-0.01085167103433435
Alpheus lottini,-0.1143354206946857,0.101394312666806
Luniella pugil,-0.09508281029986865,0.27738020015020215
Paragobiodon modestus,-0.092630860023395,-0.06762839658472615
Synalpheus charon,-0.06080879207190479,0.04630230013214032
Calcinus latens,0.029801980767168557,-0.04338834275846866
