species_clean,species_original,taxon_group,n,r_pc1_species,p_value
Alpheus_diadema,Alpheus diadema,Shrimps/Crabs,44,-0.32292847844338257,0.03251275254955325
Alpheus_lottini,Alpheus lottini,Shrimps/Crabs,44,-0.18415317750970722,0.23144891645207608
Apataxia_cerithiiformis,Apataxia cerithiiformis,Snails,44,-0.22897527986899463,0.13489661668054712
Athanas_djiboutensis,Athanas djiboutensis,Shrimps/Crabs,44,-0.009628905049751375,0.9505360963135562
Calcinus_latens,Calcinus latens,Shrimps/Crabs,44,0.1946701088686411,0.2054141188641804
Caracanthus_maculatus,Caracanthus maculatus,Fish,44,0.49107067755333283,7.12637249220416e-4
Carinomitra_typha,Carinomitra typha,Snails,44,-0.06760464968180305,0.662816297662645
Cellana_taitensis,Cellana taitensis,Snails,44,-0.04739200762545277,0.7599970096827962
Cerithium_zebrum,Cerithium zebrum,Snails,44,-0.04031387223141745,0.795003237322472
Chlorodiella_barbata,Chlorodiella barbata,Shrimps/Crabs,44,-6.896771693286305e-4,0.996454933902394
Coralliogalathea_humilis,Coralliogalathea humilis,Shrimps/Crabs,44,-0.147598956770438,0.3390087536652713
Dascyllus_aruanus,Dascyllus aruanus,Fish,44,0.2102735940259411,0.17068171073588223
Dascyllus_flavicaudus,Dascyllus flavicaudus,Fish,44,0.21204577859358315,0.16702323032464134
Diala_albugo,Diala albugo,Snails,44,-0.12400527398523799,0.42256435023873595
Diala_semistriata,Diala semistriata,Snails,44,-0.08092252009374527,0.6015422163242193
Fennera_chacei,Fennera chacei,Shrimps/Crabs,44,0.3486534867790385,0.020371529679245506
Galathea_mauritiana,Galathea mauritiana,Shrimps/Crabs,44,-0.07966623739311955,0.6072161665447775
Galeropsis_monodonta,Galeropsis monodonta,Snails,44,-0.13852271155329704,0.36985911653650905
Halichoeres_trimaculatus,Halichoeres trimaculatus,Fish,44,0.18633385549107437,0.2258734536848564
Hargeria_rapax,Hargeria rapax,Shrimps/Crabs,44,-0.25749934969997734,0.09151219827256435
Harpiliopsis_beaupresii,Harpiliopsis beaupresii,Shrimps/Crabs,44,0.08659617934778195,0.5762099402515088
Harpiliopsis_spinigera,Harpiliopsis spinigera,Shrimps/Crabs,44,0.22567585572956872,0.14076547160187597
Luniella_pugil,Luniella pugil,Shrimps/Crabs,44,-0.33619520388362756,0.025664064565870223
Macteola_interrupta,Macteola interrupta,Snails,44,-0.1267646343369838,0.41223323852218297
Menaethius_monoceros,Menaethius monoceros,Shrimps/Crabs,44,-0.2759522437484017,0.06980863028174764
Mitrella_moleculina,Mitrella moleculina,Snails,44,-0.18756802634064698,0.22275925733732413
Morula_zebrina,Morula zebrina,Snails,44,-0.02305637625160218,0.8819043987410206
Paragobiodon_modestus,Paragobiodon modestus,Fish,44,0.008851085434886649,0.9545274177776519
Pascula_muricata,Pascula muricata,Snails,44,-0.1743809251685487,0.2575870086572329
Periclimenes_watamuae,Periclimenes watamuae,Shrimps/Crabs,44,0.3005646823315457,0.047431372172255626
Stomatolina_rubra,Stomatolina rubra,Snails,44,-0.02820353784752674,0.8557935271736448
Strigatella_assimilis,Strigatella assimilis,Snails,44,-0.020664624134113026,0.8940813942692984
Synalpheus_charon,Synalpheus charon,Shrimps/Crabs,44,0.08541539053862231,0.5814418841294791
Trapezia_serenei,Trapezia serenei,Shrimps/Crabs,44,0.007497817757172109,0.9614741702820411
Trapezia_tigrina,Trapezia tigrina,Shrimps/Crabs,44,-0.09792305502605385,0.5271442889799602
Vexillum_interruptum,Vexillum interruptum,Snails,44,0.07401659309329375,0.6330116832744965
Xanthias_lamarckii,Xanthias lamarckii,Shrimps/Crabs,44,-0.19740488651832794,0.19899439148520373
Zafra_hahajimana,Zafra hahajimana,Snails,44,0.05743197378418235,0.7111595016923937
