species,slope,p
Luniella pugil,0.5413207457832222,0.022375591182545118
Fennera chacei,-0.021708738480108382,0.02916956697042925
Calcinus latens,-0.1260508138573311,0.10881446228795977
Dascyllus flavicaudus,-0.11659835872633689,0.14468943761017203
Harpiliopsis spinigera,-0.08419522518138392,0.19823961183912914
Dascyllus aruanus,-0.08385291266896526,0.20818041474923737
Periclimenes watamuae,-0.026016092900982526,0.22778653053381853
Apataxia cerithiiformis,0.0558578164852718,0.3113066663752297
Paragobiodon modestus,0.09660830524882458,0.3326387286248784
Galathea mauritiana,0.14146240488357267,0.3471526581775356
Cerithium zebrum,0.09952572867499236,0.36918581275233386
Alpheus lottini,0.09995556703886652,0.465497391343906
Synalpheus charon,0.24226631442301214,0.48577487319674195
Hargeria rapax,0.13929513305099608,0.5075369066290178
Diala semistriata,0.08446325172316474,0.5759122810388014
Galeropsis monodonta,0.006817872138616663,0.6462172895057781
Diala albugo,0.04812850126193107,0.6726176979865246
Athanas djiboutensis,-0.03202632177535831,0.7274155324912639
Trapezia serenei,0.014763667427148849,0.8727957005834206
Chlorodiella barbata,0.023435303683783472,0.9457214851904941
Strigatella assimilis,-0.012392219672889492,0.9676862490131106
