species,slope_abund,p_abund,slope_rel,p_rel
Luniella pugil,0.5413207457832235,0.022375591182475844,57.103029392762345,0.002630797949163583
Fennera chacei,-0.02170873848013288,0.02916956697018513,-2.629660657613456,0.0514535714599291
Calcinus latens,-0.126050813858106,0.10881446228458092,-5.51455860538196,0.3794698577754042
Dascyllus flavicaudus,-0.11659835872881077,0.144689437599545,-9.137735278989494,0.1242355965952027
Harpiliopsis spinigera,-0.08419522518127583,0.19823961184004832,-7.3441377358756395,0.2877691651841679
Dascyllus aruanus,-0.08385291266685897,0.20818041476002358,-0.5987200805603651,0.9207483308920279
Periclimenes watamuae,-0.026016092900697518,0.22778653053919568,-3.109792147514312,0.18192454147397075
Apataxia cerithiiformis,0.05585781648490684,0.31130666637740295,3.7630787969245247,0.41646126748205026
Paragobiodon modestus,0.09660830524884269,0.33263872862491195,11.841268926843187,0.17250066356662058
Galathea mauritiana,0.14146240488725031,0.34715265816525454,17.640139343777705,0.16054638872174198
Cerithium zebrum,0.09952572867498073,0.3691858127522051,11.959279588101628,0.19859450788385372
Alpheus lottini,0.0999555670384143,0.4654973913450636,21.531585991313133,0.055554143501131914
Synalpheus charon,0.24226639666757332,0.4857747190909588,3.863760870310357,0.7951312938053838
Hargeria rapax,0.13929513305263555,0.5075369066244741,19.07650046701397,0.26285846563903836
Diala semistriata,0.08446325185582156,0.5759122805135344,5.625048627152868,0.5920496815624594
Galeropsis monodonta,0.006817872138588686,0.6462172895071208,3.83791263858408,0.028732575797290192
Diala albugo,0.048128501265491834,0.6726176979658449,6.417707028498845,0.5050670267288436
Athanas djiboutensis,-0.03202632177492276,0.7274155324945475,2.670617309315145,0.7119535997258438
Trapezia serenei,0.014763667427152644,0.8727957005833827,4.376494302348957,0.5102459215499942
Chlorodiella barbata,0.02343530368379502,0.9457214851904805,1.9971932386113358,0.9393152195665699
Strigatella assimilis,-0.012392219672710146,0.9676862490135902,15.13299475420702,0.46850694117581093
