species,statistic,p.value,p.adj,sig
Alpheus lottini,1.401660581050336,0.4961731648399439,0.6592811670533801,
Apataxia cerithiiformis,6.618084152025017,0.03655117023181731,0.19195006845446247,
Athanas djiboutensis,2.672375639462089,0.2628457765563556,0.5053393945971003,
Calcinus latens,0.706991832331625,0.7022288603684386,0.7761476877756427,
Cerithium zebrum,2.190966291407875,0.3343780146141779,0.5401491005305951,
Chlorodiella barbata,0.04864568538033904,0.9759705739253842,0.9759705739253842,
Dascyllus aruanus,10.332618995855478,0.00570558649125322,0.07832773291356607,
Dascyllus flavicaudus,0.9244759048058463,0.6298724424471697,0.7428225481971471,
Diala albugo,6.472827920670131,0.03930459049911335,0.19195006845446247,
Diala semistriata,1.9104144549752957,0.38473240916101425,0.5770986137415214,
Fennera chacei,3.506059643176567,0.17324823620683374,0.45477662004293856,
Galathea mauritiana,6.171209052396373,0.04570239725106249,0.19195006845446247,
Galeropsis monodonta,0.6002898433769744,0.7407108678333805,0.7777464112250495,
Hargeria rapax,2.5863789387575027,0.27439421399445707,0.5053393945971003,
Harpiliopsis spinigera,4.784368069438033,0.09142977984475985,0.29220390969473437,
Luniella pugil,2.484281589739992,0.2887653683412002,0.5053393945971003,
Paragobiodon modestus,1.3770777876367994,0.5023094606120991,0.6592811670533801,
Periclimenes watamuae,9.796457615891736,0.007459784087006292,0.07832773291356607,
Strigatella assimilis,4.6578313764443084,0.09740130323157813,0.29220390969473437,
Synalpheus charon,0.9028975482284067,0.6367050413118404,0.7428225481971471,
Trapezia serenei,2.6396052254406515,0.26718803628078064,0.5053393945971003,
