species,r_with_condPC1,r_with_RDA1
Dascyllus aruanus,-0.4269936947899152,-0.4662146964577226
Fennera chacei,-0.40691074270369393,-0.4186873524176407
Diala semistriata,0.35466015935850354,0.36576527714379553
Apataxia cerithiiformis,0.30133541359766997,0.30192840132357174
Luniella pugil,0.28176241672554925,0.2773802001502022
Harpiliopsis spinigera,-0.27514338252918524,-0.338610671761813
Periclimenes watamuae,-0.26844360111470245,-0.29853234143346835
Hargeria rapax,0.2482034835428465,0.2390848374406024
Diala albugo,0.24512347873508206,0.28342448122106223
Strigatella assimilis,0.19886423994480096,0.22039013901809307
Dascyllus flavicaudus,-0.1812419858257992,-0.2169964555311555
Chlorodiella barbata,0.11149849281755898,0.19807538582737927
Galathea mauritiana,-0.10922700464621411,-0.010762288085572152
Cerithium zebrum,0.10643283931201994,0.11964153777322725
Alpheus lottini,0.10002098381635262,0.10139431266680592
Trapezia serenei,0.05882979632249384,0.0683058197943357
Calcinus latens,-0.04209960965989405,-0.04338834275846866
Athanas djiboutensis,0.03717453073521267,0.1280742031699821
Paragobiodon modestus,-0.030215409040805476,-0.06762839658472616
Synalpheus charon,0.0263606545833662,0.04630230013214028
Galeropsis monodonta,-0.010574751935345749,-0.010851671034334364
